xb@giga:[~/cs527-explore/mpx/llcbench/cachebench]:  sleep 30 ; ./cachebench -rwbsp -x1 -m24 -d5 -e10

                Memory Set Library Cache Test

C Size          Nanosec         MB/sec          % Chnge
2048            0.00            239918.62       1.00           
2048            0.00            240002.62       1.00           
2048            0.00            240006.65       1.00           
2048            0.00            240055.31       1.00           
2048            0.00            239871.78       1.00           
2048            0.00            240024.65       1.00           
2048            0.00            240002.98       1.00           
3072            0.00            244251.01       0.98           
3072            0.00            243910.24       1.00           
3072            0.00            244057.56       1.00           
3072            0.00            244109.50       1.00           
3072            0.00            243830.40       1.00           
3072            0.00            244209.78       1.00           
3072            0.00            244152.31       1.00           
3072            0.00            244078.08       1.00           
3072            0.00            243887.56       1.00           
3072            0.00            243936.29       1.00           
4096            0.00            191011.69       1.28           
4096            0.00            190999.11       1.00           
4096            0.00            191024.63       1.00           
4096            0.00            191009.26       1.00           
4096            0.00            191010.82       1.00           
4096            0.00            191005.51       1.00           
4096            0.00            191051.12       1.00           
4096            0.00            191006.41       1.00           
4096            0.00            191009.48       1.00           
4096            0.00            191013.81       1.00           
6144            0.01            162124.36       1.18           
6144            0.01            162139.02       1.00           
6144            0.01            162137.39       1.00           
6144            0.01            162120.76       1.00           
6144            0.01            162137.60       1.00           
6144            0.01            162138.93       1.00           
6144            0.01            162128.28       1.00           
6144            0.01            162135.93       1.00           
6144            0.01            162139.03       1.00           
6144            0.01            162138.40       1.00           
8192            0.01            150067.58       1.08           
8192            0.01            150049.09       1.00           
8192            0.01            150051.05       1.00           
8192            0.01            150060.79       1.00           
8192            0.01            150062.60       1.00           
8192            0.01            150043.05       1.00           
8192            0.01            150058.03       1.00           
8192            0.01            150047.68       1.00           
8192            0.01            150050.66       1.00           
8192            0.01            150043.14       1.00           
12288           0.01            153350.17       0.98           
12288           0.01            153350.66       1.00           
12288           0.01            153353.17       1.00           
12288           0.01            153350.34       1.00           
12288           0.01            153354.94       1.00           
12288           0.01            153347.13       1.00           
12288           0.01            153349.98       1.00           
12288           0.01            153335.93       1.00           
12288           0.01            153348.19       1.00           
12288           0.01            153349.11       1.00           
16384           0.01            147205.12       1.04           
16384           0.01            147196.28       1.00           
16384           0.01            147188.84       1.00           
16384           0.01            147174.09       1.00           
16384           0.01            147050.03       1.00           
16384           0.01            147156.59       1.00           
16384           0.01            146943.20       1.00           
16384           0.01            147184.89       1.00           
16384           0.01            147225.46       1.00           
16384           0.01            147094.54       1.00           
24576           0.01            97131.14        1.51           
24576           0.01            97090.85        1.00           
24576           0.01            97084.82        1.00           
24576           0.01            97145.63        1.00           
24576           0.01            97183.48        1.00           
24576           0.01            97073.11        1.00           
24576           0.01            96970.16        1.00           
24576           0.01            97143.14        1.00           
24576           0.01            97168.48        1.00           
24576           0.01            97216.15        1.00           
32768           0.01            97694.78        1.00           
32768           0.01            97479.83        1.00           
32768           0.01            97721.16        1.00           
32768           0.01            97666.13        1.00           
32768           0.01            97586.87        1.00           
32768           0.01            97727.09        1.00           
